Path,Sample,FileName,Classifier,Reference
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,10X_Cacnes_J,10X_Cacnes_J,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,10X_Cacnes_K,10X_Cacnes_K,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,10X_Cacnes_L,10X_Cacnes_L,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,10X_Cacnes_M,10X_Cacnes_M,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,10X_Cacnes_N,10X_Cacnes_N,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,10X_Cacnes_O,10X_Cacnes_O,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,10X_Cacnes_P,10X_Cacnes_P,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,10X_Cacnes_Q,10X_Cacnes_Q,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,10X_Cacnes_R,10X_Cacnes_R,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,10X_Cacnes_S,10X_Cacnes_S,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,10X_Cacnes_T,10X_Cacnes_T,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_A,5X_Cacnes_A,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_B,5X_Cacnes_B,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_C,5X_Cacnes_C,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_D,5X_Cacnes_D,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_E,5X_Cacnes_E,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_F,5X_Cacnes_F,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_G,5X_Cacnes_G,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_H,5X_Cacnes_H,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_I,5X_Cacnes_I,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_J,5X_Cacnes_J,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_K,5X_Cacnes_K,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_L,5X_Cacnes_L,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_M,5X_Cacnes_M,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_N,5X_Cacnes_N,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_O,5X_Cacnes_O,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_P,5X_Cacnes_P,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_Q,5X_Cacnes_Q,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_R,5X_Cacnes_R,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,5X_Cacnes_S,5X_Cacnes_S,Cacnes_classifiers,Pacnes_C1
